geoid,latitude,longitude,latlong
481130090002,32.758872,-96.677177,"32.7589, -96.6772"
481130090003,32.752331,-96.67811,"32.7523, -96.6781"
481130090004,32.751645,-96.667416,"32.7516, -96.6674"
481130090005,32.76815,-96.676094,"32.7681, -96.6761"
481130091011,32.760063,-96.692347,"32.7601, -96.6923"
481130091012,32.752999,-96.696728,"32.753, -96.6967"
481130091013,32.757046,-96.695595,"32.757, -96.6956"
481130091014,32.753169,-96.687659,"32.7532, -96.6877"
481130091031,32.741457,-96.70469,"32.7415, -96.7047"
481130091032,32.736501,-96.704313,"32.7365, -96.7043"
481130091041,32.744968,-96.695854,"32.745, -96.6959"
