,origin,Jobs,
645,4.81E+11,4441.5,0.03640818
646,4.81E+11,4029,0.033038835
647,4.81E+11,159.5,0.001308373
648,4.81E+11,2598,0.021311587
649,4.81E+11,9671,0.079348842
650,4.81E+11,7593.5,0.062352799
651,4.81E+11,2816,0.023137556
652,4.81E+11,2868,0.023570266
653,4.81E+11,18012,0.148064058
654,4.81E+11,24653,0.202955579
655,4.81E+11,15247,0.125776047
656,4.81E+11,13857,0.114453569
657,4.81E+11,16383,0.135472424
658,4.81E+11,16582,0.137303981
659,4.81E+11,5379,0.044600988
660,4.81E+11,196271.5,1.628148141
661,4.81E+11,195040,1.644710698
662,4.81E+11,196881,1.687997952
663,4.81E+11,110886,0.967026301
664,4.81E+11,199587,1.757575536
665,4.81E+11,11384,0.102041672
666,4.81E+11,14351,0.128768083
667,4.81E+11,16831,0.151215245
668,4.81E+11,19318,0.173822117
669,4.81E+11,44280,0.399122345
670,4.81E+11,19673,0.178035192
671,4.81E+11,189147,1.714780788
672,4.81E+11,191955,1.770599634
673,4.81E+11,8815,0.082775491
674,4.81E+11,189147,1.777618428
675,4.81E+11,8592,0.082209668
676,481130122102a,20674,0.197974984
677,481130122102b,13094.5,0.125642154
678,4.81E+11,17883,0.171803825
679,4.81E+11,20336.5,0.195711091
680,4.81E+11,21018,0.20266624
681,4.81E+11,8698,0.08404086
682,4.81E+11,15638,0.151222855
683,4.81E+11,21412.5,0.207377125
684,4.81E+11,10247.5,0.099451872
685,4.81E+11,12555.5,0.12197229
686,4.81E+11,23983,0.23327098
687,4.81E+11,4961.5,0.048370933
688,4.81E+11,10811.5,0.10545509
689,4.81E+11,4361,0.042581986
690,4.81E+11,17229,0.16830029
691,4.81E+11,16250.5,0.159009494
692,4.81E+11,18141,0.177790549
693,4.81E+11,5978,0.058691631
694,4.81E+11,5935,0.058303679
695,4.81E+11,8760,0.086105844
696,4.81E+11,4196.5,0.041284769
697,4.81E+11,5301,0.052172275
698,4.81E+11,5763.5,0.056753795
699,4.81E+11,6770,0.066702764
700,4.81E+11,2780.5,0.027413712
701,4.81E+11,3570,0.03520726
702,4.81E+11,6514,0.064263548
703,4.81E+11,2705.5,0.026708141
704,4.81E+11,2780.5,0.027455859
705,4.81E+11,21414,0.211509164
706,4.81E+11,21037,0.208225898
707,4.81E+11,5778.5,0.057315398
708,4.81E+11,10478,0.103988084
709,4.81E+11,10018.5,0.099531313
710,4.81E+11,9206.5,0.091555421
711,4.81E+11,9013.5,0.089718245
712,4.81E+11,13755.5,0.137041942
713,4.81E+11,7002.5,0.069859555
714,4.81E+11,21132,0.210968105
715,4.81E+11,41558,0.415765099
716,4.81E+11,13760.5,0.138241047
717,4.81E+11,11964,0.120359394
718,4.81E+11,37230,0.374989972
719,4.81E+11,32646,0.330056444
720,4.81E+11,6693,0.067891414
721,4.81E+11,5936,0.060253582
722,4.81E+11,6007,0.061011031
723,4.81E+11,3150,0.032012997
724,4.81E+11,2783,0.028292286
725,4.81E+11,3012,0.030628991
726,4.81E+11,9988,0.101598968
727,4.81E+11,11438,0.116466847
